x,y,presence
550806.0037976875,4505551.203173687,1
559092.9890373923,4533822.570085221,1
505581.56689975987,4588099.8009765735,1
548665.3729976886,4520582.736476559,1
596797.9329716824,4557837.654132609,1
594287.5033518953,4562358.3129857825,1
522595.6891381867,4582623.611261591,1
548354.3196424171,4512357.396091676,1
539302.9060251748,4578668.995533373,1
543443.2224877123,4525173.248669131,1
537271.0380916562,4528598.972940096,1
554180.9295175505,4510640.605598214,1
554597.7405839654,4510565.507589758,1
537417.6401996727,4509818.78500658,1
574065.067879549,4536890.54804283,1
573189.4911905203,4530569.337559461,1
540262.2955435804,4514652.16303727,1
589277.9165536384,4557688.482859913,1
574782.9294419613,4558207.018435748,1
545336.8481473455,4509879.68265763,1
578601.3287801578,4580567.150843195,1
572837.7385320945,4537795.6453509675,1
570405.8069298725,4549762.906984806,1
574062.1787449078,4562885.389689906,1
549564.3230472546,4504672.345507669,1
562446.5520251256,4552090.727979086,1
580174.7770056503,4534602.231202623,1
572732.0252090625,4545302.231219881,1
569174.0250331277,4528768.302542304,1
556272.5946581162,4517286.913365543,1
570334.5926213425,4520604.836552817,1
551853.9799485634,4523566.995992751,1
532192.155524935,4526776.597344415,1
580654.2307581482,4556082.424713178,1
579768.6527991934,4536921.85618378,1
562703.7020170438,4511371.327064259,1
554298.8446303027,4515121.981142988,1
571294.6215695082,4566289.1378377,1
547907.7812217394,4514102.809821504,1
546051.5426023818,4514924.468376857,1
544590.73927776,4515785.780699369,1
544364.6994803271,4515177.102054203,1
545283.423981373,4503322.160151497,1
591075.0024127077,4568551.015376332,1
575427.0228670988,4537665.143109564,1
560810.161752492,4505643.667677381,1
528244.398213661,4524188.470810912,1
542361.8344015123,4519584.122534631,1
585288.4060409531,4539437.195865123,1
586199.31874756,4548737.155042074,1
554668.6539967264,4504392.563258828,1
584731.371941857,4539073.805336078,1
557740.0985046828,4524387.929627793,1
577334.8127656215,4546311.2138967,1
553239.2011302785,4505821.509280894,1
577057.3368650305,4545372.537086434,1
539823.860397083,4510260.429240178,1
582077.8432330159,4543303.604548229,1
547388.5323200306,4507909.913856677,1
577333.3104093306,4538600.041846279,1
545289.1360694395,4512572.2664174475,1
563231.6636384471,4522943.076946298,1
571618.8442210975,4558402.59907751,1
572811.9984333273,4542755.594389192,1
545593.797646547,4517362.308260977,1
543291.8183114356,4520402.768348054,1
572123.3353835129,4539236.742549271,1
571788.7482026241,4549589.1835431745,1
547610.4637355265,4514742.257853807,1
543087.7928905782,4521690.549155245,1
541238.348281949,4519559.256834052,1
583833.9015102125,4530433.618851687,1
578145.3816234584,4539836.313705083,1
571249.0823683583,4537864.327387662,1
525869.5524180866,4579788.704037548,1
554769.7744141866,4508157.668394965,1
575788.8517780794,4538783.880916264,1
579638.0637144063,4529822.108565151,1
574099.7996385699,4539288.936022945,1
569109.6169790478,4539100.857714355,1
547939.1216439651,4519875.420789797,1
548084.6473053913,4520169.020947018,1
561110.6027877723,4515708.692670963,1
596632.2776098652,4565270.285286198,1
549865.1782434551,4512941.054275365,1
546709.1814219797,4506675.009809279,1
548366.35850077,4502066.750337075,1
566217.5711240482,4556438.98242411,1
573367.8938682922,4529432.991689074,1
558908.1889176548,4508629.311975056,1
