x,y
550806.0037976875,4505551.203173687
559092.9890373923,4533822.570085221
505581.56689975987,4588099.8009765735
548665.3729976886,4520582.736476559
596797.9329716824,4557837.654132609
594287.5033518953,4562358.3129857825
522595.6891381867,4582623.611261591
548354.3196424171,4512357.396091676
539302.9060251748,4578668.995533373
543443.2224877123,4525173.248669131
537271.0380916562,4528598.972940096
554180.9295175505,4510640.605598214
554597.7405839654,4510565.507589758
537417.6401996727,4509818.78500658
574065.067879549,4536890.54804283
573189.4911905203,4530569.337559461
540262.2955435804,4514652.16303727
589277.9165536384,4557688.482859913
574782.9294419613,4558207.018435748
545336.8481473455,4509879.68265763
578601.3287801578,4580567.150843195
572837.7385320945,4537795.6453509675
570405.8069298725,4549762.906984806
574062.1787449078,4562885.389689906
549564.3230472546,4504672.345507669
562446.5520251256,4552090.727979086
580174.7770056503,4534602.231202623
572732.0252090625,4545302.231219881
569174.0250331277,4528768.302542304
556272.5946581162,4517286.913365543
570334.5926213425,4520604.836552817
551853.9799485634,4523566.995992751
532192.155524935,4526776.597344415
580654.2307581482,4556082.424713178
579768.6527991934,4536921.85618378
562703.7020170438,4511371.327064259
554298.8446303027,4515121.981142988
571294.6215695082,4566289.1378377
547907.7812217394,4514102.809821504
546051.5426023818,4514924.468376857
544590.73927776,4515785.780699369
544364.6994803271,4515177.102054203
545283.423981373,4503322.160151497
591075.0024127077,4568551.015376332
575427.0228670988,4537665.143109564
560810.161752492,4505643.667677381
528244.398213661,4524188.470810912
542361.8344015123,4519584.122534631
585288.4060409531,4539437.195865123
586199.31874756,4548737.155042074
554668.6539967264,4504392.563258828
584731.371941857,4539073.805336078
557740.0985046828,4524387.929627793
577334.8127656215,4546311.2138967
553239.2011302785,4505821.509280894
577057.3368650305,4545372.537086434
539823.860397083,4510260.429240178
582077.8432330159,4543303.604548229
547388.5323200306,4507909.913856677
577333.3104093306,4538600.041846279
545289.1360694395,4512572.2664174475
563231.6636384471,4522943.076946298
571618.8442210975,4558402.59907751
572811.9984333273,4542755.594389192
545593.797646547,4517362.308260977
543291.8183114356,4520402.768348054
572123.3353835129,4539236.742549271
571788.7482026241,4549589.1835431745
547610.4637355265,4514742.257853807
543087.7928905782,4521690.549155245
541238.348281949,4519559.256834052
583833.9015102125,4530433.618851687
578145.3816234584,4539836.313705083
571249.0823683583,4537864.327387662
525869.5524180866,4579788.704037548
554769.7744141866,4508157.668394965
575788.8517780794,4538783.880916264
579638.0637144063,4529822.108565151
574099.7996385699,4539288.936022945
569109.6169790478,4539100.857714355
547939.1216439651,4519875.420789797
548084.6473053913,4520169.020947018
561110.6027877723,4515708.692670963
596632.2776098652,4565270.285286198
549865.1782434551,4512941.054275365
546709.1814219797,4506675.009809279
548366.35850077,4502066.750337075
566217.5711240482,4556438.98242411
573367.8938682922,4529432.991689074
558908.1889176548,4508629.311975056
542228.9182441157,4517381.617545602
572944.5469019297,4567417.846854029
537923.164487206,4512555.196852294
543556.143274158,4514351.899910881
553275.6567335819,4516621.954290827
583812.8488897427,4536380.872261778
533387.2657235722,4521058.378474328
546819.3440009308,4518826.496587887
588825.3004388385,4537376.710174819
521665.8580878452,4516064.25551185
576378.2168515772,4544352.8252596725
571075.3154535146,4550597.505451653
517812.9581609227,4513081.634307076
574130.8095806072,4540418.2659296505
585356.2303930968,4568419.212113482
553866.0965445942,4514846.456208198
536119.913991976,4515906.0821423875
545367.4211897152,4515556.682987998
577384.998216173,4540254.671405107
532071.2127029238,4522398.65529766
522222.00268108747,4586907.110227429
535627.0780810268,4596196.810728659
579100.5623143301,4545179.84388618
531371.4220241068,4525829.991338757
570667.2715044002,4522574.067499602
569307.5985528108,4555862.208046381
556551.4725792547,4513149.872893752
558081.7816419804,4506758.628998928
578794.0963804857,4557627.020247037
515698.1090406123,4514843.74316313
567401.8820443556,4522432.587769687
577582.8957297051,4527766.333450879
533799.5030596419,4528930.286715955
551831.1528006105,4517710.8277153615
574794.4878387138,4548664.560607797
544822.2837162705,4522385.444157697
592149.7321608675,4545065.172730016
583856.8705879496,4562662.470151844
529271.8633461606,4524326.195904499
586365.2173484322,4544625.564682502
540098.7059070023,4517906.181250697
539600.8116184497,4520742.871121248
581208.2078986017,4547648.361290326
545205.9450654113,4513198.501975803
571601.3869081734,4539663.498930063
531582.4818196011,4518830.367653764
580082.3101534813,4544593.961918696
574570.9515347001,4549891.46930213
540563.2584951071,4513109.5278943665
555373.1030467238,4510162.986874734
582423.9934140423,4539800.681920667
577720.2700729124,4541691.682647042
550124.696179103,4519254.021385203
572181.34746506,4547277.641724591
550377.4064415069,4513153.608734846
516421.7005850316,4589763.840714191
569145.4744018285,4554925.745598745
566562.2436516923,4557050.990351593
585173.4475254872,4541788.49136549
553704.1459420158,4513178.08242925
